|6.6.6
gloss1d1_7.tab                                                                                      
           1
node #  
  0.000000000000000E+000
  0.000000000000000E+000
           0
          27
node#          P(bar)         T(K)           Stlp           Omph(GHP)      Omph(GHP)      clin           ab             san            q              stlb           cc             pyr            gph            Mica(CF)       Pu             law            arag           COH-Fluid+     Do(HP)         M(HP)          M(HP)          diam           coe            Grt(JH)        Grt(JH)        ky            
  1.00000        1.00000        277.053        49.5562       0.373495                 NaN   2.99654        69.1293        18.5556        30.1121        100.000        9.31637       0.978860       0.337081E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2.00000        101.000        278.749        49.5558       0.373155                 NaN   2.99520        69.1292        18.5540        30.1096        100.000        9.31531       0.978582       0.336162E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3.00000        201.000        280.394        49.5344       0.647704                 NaN   3.28821        69.1029        18.6726        30.2407        100.000        9.61096        1.25338       0.285919       0.282631                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4.00000        301.000        281.992        49.5031        1.43624                 NaN   4.10050        69.0431        18.9918        30.5939        100.000        10.4301        2.04251        1.09010        1.08696                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5.00000        401.000        283.543        50.2511        7.13121        7.13121        8.84449        69.6777        19.7529        31.4206        100.000        15.2443        8.09813        7.13121        7.13096        7.48704                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6.00000        501.000        285.048        50.8459        11.3737        11.3737        12.4241        69.8610        20.7276        32.4864        100.000        18.8580        12.4241        11.3737        11.3735        11.8097                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7.00000        601.000        286.510        50.8473        12.4325        12.4325        13.4762        69.7888        21.1449        32.9472        100.000        19.9181        13.4762        12.4325        12.4322        12.8611                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8.00000        701.000        287.929        50.8475        13.4291        13.4291        14.4666        69.7193        21.5373        33.3805        100.000        20.9156        14.4666        13.4291        13.4288        13.8507                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9.00000        801.000        289.307        50.8483        14.3229        14.3229        15.3550        69.6578        21.8897        33.7696        100.000        21.8104        15.3550        14.3229        14.3226        14.7384                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10.0000        901.000        290.646        50.8481        14.4542        14.4542        15.4856        69.6480        21.9420        33.8268        100.000        21.9420        15.4856        14.4542        14.4539        14.8689                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  11.0000        1001.00        291.947        50.8478        14.4553        14.4553        15.4869        69.6467        21.9434        33.8276        100.000        21.9434        15.4869        14.4553        14.4550        14.8701                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  12.0000        1101.00        293.212        50.8474        14.4564        14.4564        15.4883        69.6454        21.9449        33.8285        100.000        21.9449        15.4883        14.4564        14.4561        14.8714                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  13.0000        1201.00        294.440        50.8471        14.4575        14.4575        15.4896        69.6441        21.9463        33.8293        100.000        21.9463        15.4896        14.4575        14.4571        14.8727                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  14.0000        1301.00        295.635        50.8467        14.4582        14.4582        15.4905        69.6430        21.9474        33.8298        100.000        21.9474        15.4905        14.4582        14.4579        14.8735                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  15.0000        1401.00        296.798        50.8463        14.4593        14.4593        15.4918        69.6417        21.9487        33.8306        100.000        21.9487        15.4918        14.4593        14.4589        14.8748                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  16.0000        1501.00        297.928        50.8459        14.4604        14.4604        15.4932        69.6404        21.9502        33.8314        100.000        21.9502        15.4932        14.4604        14.4600        14.8761                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  17.0000        1601.00        299.029        50.8455        14.4612        14.4612        15.4941        69.6392        21.9512        33.8318        100.000        21.9512        15.4941        14.4612        14.4608        14.8769                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  18.0000        1701.00        300.100        50.8451        14.4622        14.4622        15.4954        69.6379        21.9526        33.8326        100.000        21.9526        15.4954        14.4622        14.4618        14.8782                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  19.0000        1801.00        301.143        50.8887        14.5816                 NaN   15.5839        69.6000        22.0387        33.9263        100.000        22.0387        15.5839        14.5300        14.5291        14.9666                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  20.0000        1901.00        302.160        50.9334        14.7037                 NaN   15.6745        69.5612        22.1268        34.0222        100.000        22.1268        15.6745        14.5993        14.5980        15.0570                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  21.0000        2001.00        303.151        50.9693        14.8024                 NaN   15.7477        69.5296        22.1981        34.0997        100.000        22.1981        15.7477        14.6553        14.6537        15.1302                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  22.0000        2101.00        304.117        51.0148        14.9267                 NaN   15.8399        69.4901        22.2878        34.1973        100.000        22.2878        15.8399        14.7258        14.7237        15.2222                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  23.0000        2201.00        305.059        51.0607        15.0523                 NaN   15.9330        69.4502        22.3784        34.2959        100.000        22.3784        15.9330        14.7972        14.7946        15.3153                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  24.0000        2301.00        305.979        51.1169        15.2047                 NaN   16.0463        69.4020        22.4885        34.4161        100.000        22.4885        16.0463        14.8836        14.8804        15.4284                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  25.0000        2401.00        306.878        51.2701        15.4037                 NaN   16.0219        69.4281        22.4598        34.6501        100.000        22.4598        16.0219        14.9458        14.9416        15.4037        22.6913                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  26.0000        2501.00        307.756        51.2804        15.4475                 NaN   16.0657        69.4078        22.5029        34.6792        100.000        22.5029        16.0657        14.9740        14.9697        15.4475        22.7193                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  27.0000        2601.00        308.615        51.2908        15.4914                 NaN   16.1097        69.3873        22.5461        34.7082        100.000        22.5461        16.1097        15.0023        14.9978        15.4914        22.7472                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  28.0000        2701.00        309.454        51.3011        15.5355                 NaN   16.1539        69.3668        22.5895        34.7375        100.000        22.5895        16.1539        15.0307        15.0262        15.5355        22.7753                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  29.0000        2801.00        310.276        51.3124        15.5802                 NaN   16.1987        69.3464        22.6334        34.7681        100.000        22.6334        16.1987        15.0594        15.0546        15.5802        22.8044                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  30.0000        2901.00        311.081        51.3229        15.6247                 NaN   16.2432        69.3257        22.6772        34.7977        100.000        22.6772        16.2432        15.0880        15.0832        15.6247        22.8328                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  31.0000        3001.00        311.870        51.3334        15.6693                 NaN   16.2879        69.3050        22.7210        34.8272        100.000        22.7210        16.2879        15.1167        15.1117        15.6693        22.8612                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  32.0000        3101.00        312.644        51.3449        15.7146                 NaN   16.3332        69.2844        22.7655        34.8586        100.000        22.7655        16.3332        15.1459        15.1407        15.7146        22.8910                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  33.0000        3201.00        313.404        51.3542        15.7544                 NaN   16.3730        69.2658        22.8046        34.8850        100.000        22.8046        16.3730        15.1715        15.1662        15.7544        22.9164                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  34.0000        3301.00        314.150        51.3605        15.7823                 NaN   16.4010        69.2525        22.8321        34.9033        100.000        22.8321        16.4010        15.1895        15.1841        15.7823        22.9343                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  35.0000        3401.00        314.883        51.3711        15.8275                 NaN   16.4463        69.2314        22.8766        34.9333        100.000        22.8766        16.4463        15.2186        15.2130        15.8275        22.9631                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  36.0000        3501.00        315.604        51.1490        15.9499                 NaN   16.5718        69.0623        16.5718        34.6521        100.000        16.5718        16.5718        15.3214        15.3157        15.9499        22.6226        22.5509                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  37.0000        3601.00        316.313        51.1598        15.9957                 NaN   16.6176        69.0410        16.6176        34.6826        100.000        16.6176        16.6176        15.3509        15.3450        15.9957        22.6518        22.5959                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  38.0000        3701.00        317.012        51.1719        16.0423                 NaN   16.6643        69.0199        16.6643        34.7148        100.000        16.6643        16.6643        15.3806        15.3746        16.0423        22.6824        22.6418                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  39.0000        3801.00        317.701        53.1299        17.2769                 NaN   17.9017        69.1690        17.9017        37.5564        100.000        17.9017        17.9017        15.7998        15.7722        17.2769        24.8100        23.7659                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  40.0000        3901.00        318.381        53.6281        17.8941                 NaN   18.5196        69.0376        18.5196        38.3803        100.000        18.5196        18.5196        16.1137        16.0806        17.8941        25.4722        24.3546                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  41.0000        4001.00        319.052        54.1900        18.5833                 NaN   19.2095        68.8922        19.2095        39.3020        100.000        19.2095        19.2095        16.4606        16.4214        18.5833        26.2120        25.0123                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  42.0000        4101.00        319.715        54.8464        19.3788                 NaN   20.0059        68.7263        20.0059        40.3677        100.000        20.0059        20.0059        16.8559        16.8098        19.3788        27.0661        25.7721                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
