|6.6.6
gloss1d6_1.tab                                                                                      
           1
node #  
  0.000000000000000E+000
  0.000000000000000E+000
           0
          28
node#          P(bar)         T(K)           Chl(HP)        Stlp           Omph(GHP)      Omph(GHP)      ab             san            q              stlb           cc             pyr            gph            Mica(CF)       Pu             law            arag           WADDAH         Do(HP)         M(HP)          M(HP)          diam           coe            Grt(JH)        Grt(JH)        Grt(JH)        ky            
  1.00000        1.00000        277.053        2.99859        49.5558       0.373498                 NaN   69.1290        18.5578        30.1144        100.000        9.31848       0.978868       0.337083E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2.00000        101.000        278.749        3.36426        49.5190       0.705946                 NaN   69.0922        18.7094        30.2823        100.000        9.68745        1.31160       0.348286       0.345030                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3.00000        201.000        280.394        3.99740        49.4720        1.29882                 NaN   69.0366        18.9650        30.5653        100.000        10.3261        1.90493       0.959211       0.956125                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4.00000        301.000        281.992        4.80259        49.4394        2.07875                 NaN   68.9767        19.2821        30.9161        100.000        11.1381        2.68546        1.75501        1.75207                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5.00000        401.000        283.543        5.79881        49.4466        3.09074                 NaN   68.9230        19.6580        31.3317        100.000        12.1424        3.69820        2.77523        2.77236                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6.00000        501.000        285.048        10.9176        50.4369        9.41600        9.41600        69.6693        20.4361        32.1720        100.000        17.3350        10.4027        9.41600        9.41575        9.78989                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7.00000        601.000        286.510        13.4762        50.8473        12.4325        12.4325        69.7888        21.1449        32.9472        100.000        19.9181        13.4762        12.4325        12.4322        12.8611                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8.00000        701.000        287.929        14.4666        50.8475        13.4291        13.4291        69.7193        21.5373        33.3805        100.000        20.9156        14.4666        13.4291        13.4288        13.8507                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9.00000        801.000        289.307        15.3550        50.8483        14.3229        14.3229        69.6578        21.8897        33.7696        100.000        21.8104        15.3550        14.3229        14.3226        14.7384                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10.0000        901.000        290.646        15.4856        50.8481        14.4542        14.4542        69.6480        21.9420        33.8268        100.000        21.9420        15.4856        14.4542        14.4539        14.8689                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  11.0000        1001.00        291.947        15.4869        50.8478        14.4553        14.4553        69.6467        21.9434        33.8276        100.000        21.9434        15.4869        14.4553        14.4550        14.8701                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  12.0000        1101.00        293.212        15.4883        50.8474        14.4564        14.4564        69.6454        21.9449        33.8285        100.000        21.9449        15.4883        14.4564        14.4561        14.8714                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
