|6.6.6
gloss1di_1.tab                                                                                      
           1
n(H2O)  
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
n(H2O)         node#          Grt(JH)        Mica(CF)       Do(HP)         Omph(GHP)      COH-Fluid+     law            coe            pyr            M(HP)          ky            
  0.00000        1.00000        24.6784        64.5582        8.07700        44.2092       0.124753        15.6662        100.000       0.940891                 NaN            NaN
 0.100000        2.00000        24.9959        64.6615        8.35445        44.4509       0.473680        15.9680        100.000        1.28760                 NaN            NaN
 0.200000        3.00000        25.0556        64.6394        8.31361        44.4966       0.476847        15.9689        100.000        1.29139                 NaN            NaN
 0.300000        4.00000        25.1316        64.5972        8.29688        44.5270       0.505941        15.8969        100.000        1.32134                 NaN            NaN
 0.400000        5.00000        25.1360        64.5870        8.19771        44.5525       0.444701        15.9422        100.000        1.26098                 NaN            NaN
 0.500000        6.00000        25.2318        64.5755        8.18473        44.6136       0.478109        15.9680        100.000        1.29477                 NaN            NaN
 0.600000        7.00000        25.2750        64.5577        8.13477        44.6428       0.487847        15.9688        100.000        1.30514       0.144144E-001            NaN
 0.700000        8.00000        25.3159        64.5421        8.08125        44.6922       0.533910        15.9883        100.000        1.35183       0.646366E-001            NaN
 0.800000        9.00000        25.3773        64.5279        8.03268        44.7437       0.579081        16.0129        100.000        1.39759       0.109452                 NaN
 0.900000        10.0000        25.4189        64.5150        7.98175        44.7967       0.630598        16.0402        100.000        1.44969       0.162021                 NaN
  1.00000        11.0000        25.4725        64.4988        7.93814        44.8482       0.681953        16.0557        100.000        1.50162       0.207063                 NaN
  1.10000        12.0000        25.5120        64.4838        7.88319        44.8987       0.733203        16.0776        100.000        1.55349       0.263081                 NaN
  1.20000        13.0000        25.5627        64.4680        7.83655        44.9502       0.792984        16.0943        100.000        1.61385       0.318344                 NaN
  1.30000        14.0000        25.6108        64.4561        7.77846        45.0031       0.837502        16.1297        100.000        1.65901       0.371466                 NaN
  1.40000        15.0000        25.6677        64.4412        7.73632        45.0567       0.905319        16.1495        100.000        1.72739       0.429605                 NaN
  1.50000        16.0000        25.7111        64.4256        7.68342        45.1075       0.952962        16.1712        100.000        1.77568       0.480368                 NaN
  1.60000        17.0000        25.7593        64.4104        7.63482        45.1599        1.00392        16.1932        100.000        1.82725       0.529708                 NaN
  1.70000        18.0000        25.8121        64.3984        7.57952        45.2138        1.05024        16.2288        100.000        1.87420       0.581657                 NaN
  1.80000        19.0000        25.8711        64.3826        7.53934        45.2674        1.10522        16.2466        100.000        1.92975       0.626235                 NaN
  1.90000        20.0000        25.9121        64.3667        7.48343        45.3180        1.15625        16.2684        100.000        1.98143       0.682520                 NaN
  2.00000        21.0000        25.9683        64.3543        7.43014        45.3725        1.21038        16.3022        100.000        2.03619       0.739145                 NaN
  2.10000        22.0000        26.0178        64.3409        7.38328        45.4278        1.26792        16.3294        100.000        2.09431       0.792301                 NaN
  2.20000        23.0000        26.0678        64.3249        7.33480        45.4805        1.31979        16.3497        100.000        2.14680       0.841931                 NaN
  2.30000        24.0000        26.1171        64.3078        7.28395        45.5316        1.37941        16.3661        100.000        2.20705       0.900487                 NaN
  2.40000        25.0000        26.1699        64.2946        7.22684        45.5852        1.42779        16.3993        100.000        2.25609       0.955344                 NaN
  2.50000        26.0000        26.2219        64.2808        7.18156        45.6410        1.48340        16.4256        100.000        2.31228        1.00497                 NaN
  2.60000        27.0000        26.2585        64.2689        7.12448        45.6967        1.53695        16.4607        100.000        2.36646        1.06413                 NaN
  2.70000        28.0000        26.3127        64.2574        7.07778        45.7458        1.58985        16.4895        100.000        2.41994        1.11273                 NaN
  2.80000        29.0000        26.3625        64.2441        7.02589        45.7935        1.64971        16.5145        100.000        2.48041        1.17238                 NaN
  2.90000        30.0000        26.4071        64.2309        6.97424        45.8494        1.70431        16.5454        100.000        2.53563        1.22730                 NaN
  3.00000        31.0000        26.4635        64.2139        6.92905        45.9030        1.76057        16.5632        100.000        2.59250        1.27710                 NaN
  3.10000        32.0000        26.5128        64.2010        6.86834        45.9574        1.80579        16.6008        100.000        2.63841        1.33237                 NaN
  3.20000        33.0000        26.5723        64.1854        6.82572        46.0132        1.87681        16.6219        100.000        2.71003        1.39263                 NaN
  3.30000        34.0000        26.6154        64.1696        6.76957        46.0663        1.92618        16.6476        100.000        2.76008        1.44674                 NaN
  3.40000        35.0000        26.6810        64.1542        6.72139        46.1211        1.97283        16.6742        100.000        2.80736        1.49083                 NaN
  3.50000        36.0000        26.7243        64.1406        6.66627        46.1769        2.02577        16.7068        100.000        2.86097        1.54713                 NaN
  3.60000        37.0000        26.7829        64.1236        6.62180        46.2317        2.08359        16.7258        100.000        2.91941        1.59716                 NaN
  3.70000        38.0000        26.8259        64.1076        6.56484        46.2852        2.13313        16.7517        100.000        2.96964        1.65186                 NaN
  3.80000        39.0000        26.8773        64.0919        6.51444        46.3405        2.19826        16.7757        100.000        3.03541        1.71401                 NaN
  3.90000        40.0000        26.9322        64.0771        6.45965        46.3957        2.25067        16.8059        100.000        3.08850        1.76906                 NaN
  4.00000        41.0000        26.9857        64.0625        6.40811        46.4521        2.31571        16.8345        100.000        3.15418        1.83217                 NaN
  4.10000        42.0000        27.0397        64.0454        6.35905        46.5067        2.37207        16.8555        100.000        3.21119        1.88513                 NaN
  4.20000        43.0000        27.0854        64.0296        6.30395        46.5615        2.42391        16.8825        100.000        3.26370        1.94000                 NaN
  4.30000        44.0000        27.1449        64.0112        6.25868        46.6157        2.47478        16.8991        100.000        3.31521        1.98429                 NaN
