|6.6.6
gloss1di_2.tab                                                                                      
           1
n(H2O)  
  0.000000000000000E+000
  0.000000000000000E+000
           0
          97
n(H2O)         node#          H2,mol_abs     C,mol_abs      Si,mol_abs     Al,mol_abs     Fe,mol_abs     Mg,mol_abs     Ca,mol_abs     Na,mol_abs     K,mol_abs      O2,mol_abs     S2,mol_abs     m_{CO2}        m_{H2O}        m_{FeC4H6O4}   m_{FeC2H3O2}   m_{NaCO3-}     m_{CO3-2}      m_{BENZENE}    m_{ACETATE}    m_{ACETIC-A}   m_{Al+3}       m_{AlO2-}      m_{Ca(HCO3)}   m_{Ca(OH)+}    m_{Ca+2}       m_{CaCO3,aq}   m_{CaSO4,aq}   m_{CO,aq}      m_{ETHANE,A}   m_{ETHANOL,}   m_{ETHYLENE}   m_{Fe+2}       m_{Fe+3}       m_{FORMATE,}   m_{FORMIC-A}   m_{GLUTARIC}   m_{GLYCOLIC}   m_{H+}         m_{H2,aq}      m_{H2S,aq}     m_{HAlO2,aq}   m_{HCO3-}      m_{HEXANE,A}   m_{HO2-}       m_{HS-}        m_{HSiO3-}     m_{HSO3-}      m_{HSO4-}      m_{HSO5-}      m_{K+}         m_{KOH,aq}     m_{KSO4-}      m_{LACTIC-A}   m_{METHANE,}   m_{METHANOL}   m_{Mg(HCO3)}   m_{Mg(HSiO3}   m_{Mg+2}       m_{MgCO3,aq}   m_{MgOH+}      m_{MgSO4,aq}   m_{Na+}        m_{NaHCO3,a}   m_{NaHSiO3,}   m_{NaOH,aq}    m_{O2,aq}      m_{OH-}        m_{PROPANE,}   m_{PROPANOA}   m_{PROPANOI}   m_{PROPANOL}   m_{S2-2}       m_{S2O3-2}     m_{S2O4-2}     m_{S2O5-2}     m_{S2O6-2}     m_{S2O8-2}     m_{S3-2}       m_{S3O6-2}     m_{S4-2}       m_{S4O6-2}     m_{S5-2}       m_{S5O6-2}     m_{Si2O4,aq}   m_{SiO2,aq}    m_{SO2,aq}     m_{SO3-2}      m_{SO4-2}      m_{TOLUENE,}   pH-pH_0        pH             error_pH       permittivity   I,m            tot_solute_m  
  0.00000        1.00000       0.260987E-001  0.133330E-002  0.177200E-002  0.134142E-005  0.658294E-009  0.134356E-005  0.630202E-003  0.319109E-003  0.525764E-003  0.166912E-001  0.710756E-005   1.14448        46.4190       0.135363E-009  0.163669E-007  0.305840E-003  0.422783E-002  0.127472E-021  0.177346E-004  0.210256E-004  0.149009E-013  0.115893E-002   1.27698       0.131126E-002  0.195308E-002  0.166635E-001  0.195811E-001  0.114121E-003  0.444862E-009  0.387542E-006  0.210299E-011  0.135867E-005  0.129741E-012  0.383749E-001  0.266269E-002  0.825176E-019  0.289149E-010  0.771452E-004  0.548752E-004  0.181938E-002  0.164327E-002  0.143291       0.746473E-007  0.605671E-018  0.667303E-003   2.77779       0.310479E-002  0.392020E-002  0.664426E-018   1.07943       0.187859E-001  0.100450E-003  0.597172E-014  0.115096E-004  0.240192E-005  0.785673E-003  0.168228E-002  0.407189E-004  0.257204E-009  0.297183E-003  0.831965E-006  0.640925       0.108881E-001  0.910996E-002  0.538470E-002  0.285670E-020  0.272906E-001  0.321414E-013  0.179478E-005  0.192028E-009  0.241209E-012  0.108102E-008  0.189914E-007  0.284483E-014  0.166780E-014  0.130019E-015  0.971713E-032  0.146790E-009  0.508587E-017  0.172725E-010  0.152005E-014  0.171137E-011  0.657860E-019  0.142923       0.627267       0.551450E-005  0.116917E-007  0.495639E-003  0.394060E-024   1.30604        4.16544      -0.633694E-001   28.6318        3.01219        6.86117     
 0.100000        2.00000       0.993555E-001  0.507178E-002  0.673969E-002  0.511094E-005  0.252000E-008  0.516552E-005  0.239668E-002  0.121548E-002  0.199601E-002  0.635307E-001  0.273618E-004   1.14463        46.4254       0.130186E-009  0.160867E-007  0.304462E-003  0.421721E-002  0.118849E-021  0.173759E-004  0.206713E-004  0.150974E-013  0.115891E-002   1.27537       0.131114E-002  0.196054E-002  0.165985E-001  0.198254E-001  0.113508E-003  0.430999E-009  0.377835E-006  0.204594E-011  0.136652E-005  0.131452E-012  0.381195E-001  0.265407E-002  0.786705E-019  0.284884E-010  0.773505E-004  0.546476E-004  0.181638E-002  0.164548E-002  0.142938       0.703244E-007  0.607441E-018  0.665299E-003   2.77419       0.313486E-002  0.397488E-002  0.676540E-018   1.07643       0.186851E-001  0.101299E-003  0.580329E-014  0.113054E-004  0.237418E-005  0.792700E-003  0.169931E-002  0.412918E-004  0.258816E-009  0.300191E-003  0.850949E-006  0.641314       0.108538E-001  0.909184E-002  0.537398E-002  0.288088E-020  0.272553E-001  0.307145E-013  0.173447E-005  0.185827E-009  0.231956E-012  0.108042E-008  0.192224E-007  0.289158E-014  0.170237E-014  0.133274E-015  0.100448E-031  0.147076E-009  0.522630E-017  0.173496E-010  0.156594E-014  0.172332E-011  0.679417E-019  0.142923       0.627267       0.557512E-005  0.118042E-007  0.502525E-003  0.362385E-024   1.30516        4.16457      -0.633425E-001   28.6318        3.00803        6.85283     
 0.200000        3.00000       0.999379E-001  0.509744E-002  0.676946E-002  0.515211E-005  0.256033E-008  0.525484E-005  0.240714E-002  0.122451E-002  0.199830E-002  0.638860E-001  0.275715E-004   1.14487        46.4348       0.128407E-009  0.160425E-007  0.303289E-003  0.420976E-002  0.115586E-021  0.172177E-004  0.205486E-004  0.154088E-013  0.115983E-002   1.27339       0.130829E-002  0.196751E-002  0.165051E-001  0.198473E-001  0.113335E-003  0.425369E-009  0.374063E-006  0.202313E-011  0.138040E-005  0.133956E-012  0.379847E-001  0.265315E-002  0.773046E-019  0.283528E-010  0.776671E-004  0.545421E-004  0.181455E-002  0.165047E-002  0.142739       0.687246E-007  0.607522E-018  0.663148E-003   2.76861       0.314492E-002  0.399620E-002  0.681631E-018   1.07138       0.185256E-001  0.100951E-003  0.574336E-014  0.112204E-004  0.236370E-005  0.801937E-003  0.171805E-002  0.419868E-004  0.260765E-009  0.303501E-003  0.863159E-006  0.642354       0.108361E-001  0.907140E-002  0.536190E-002  0.289328E-020  0.272004E-001  0.301438E-013  0.170906E-005  0.183514E-009  0.228356E-012  0.107752E-008  0.192947E-007  0.290870E-014  0.171613E-014  0.134640E-015  0.101914E-031  0.146817E-009  0.528474E-017  0.173351E-010  0.158491E-014  0.172347E-011  0.688287E-019  0.142923       0.627267       0.560429E-005  0.118377E-007  0.505033E-003  0.350463E-024   1.30379        4.16320      -0.632498E-001   28.6318        3.00208        6.84064     
 0.300000        4.00000       0.106155       0.529204E-002  0.718789E-002  0.549680E-005  0.272324E-008  0.566421E-005  0.254898E-002  0.129724E-002  0.209983E-002  0.677345E-001  0.298180E-004   1.09665        46.5625       0.120149E-009  0.155983E-007  0.302752E-003  0.423792E-002  0.101897E-021  0.166651E-004  0.199539E-004  0.154391E-013  0.116765E-002   1.27204       0.130465E-002  0.195907E-002  0.166225E-001  0.202844E-001  0.112092E-003  0.400425E-009  0.357015E-006  0.192120E-011  0.138620E-005  0.134135E-012  0.376817E-001  0.263583E-002  0.711398E-019  0.276058E-010  0.777566E-004  0.540238E-004  0.180642E-002  0.166210E-002  0.142755       0.617205E-007  0.613888E-018  0.661384E-003   2.77459       0.320843E-002  0.411245E-002  0.705729E-018   1.06249       0.183932E-001  0.102710E-003  0.545714E-014  0.108275E-004  0.231336E-005  0.814526E-003  0.174904E-002  0.426302E-004  0.263352E-009  0.308828E-003  0.898180E-006  0.642326       0.107968E-001  0.903903E-002  0.535187E-002  0.293349E-020  0.272921E-001  0.276631E-013  0.161275E-005  0.173132E-009  0.212629E-012  0.107354E-008  0.196893E-007  0.299098E-014  0.177885E-014  0.140650E-015  0.107914E-031  0.146762E-009  0.554248E-017  0.173859E-010  0.166417E-014  0.173427E-011  0.727504E-019  0.143025       0.628884       0.571258E-005  0.120585E-007  0.518099E-003  0.301322E-024   1.30421        4.16095      -0.631126E-001   28.7425        3.00002        6.83848     
 0.400000        5.00000       0.930267E-001  0.473474E-002  0.627923E-002  0.482028E-005  0.244068E-008  0.503448E-005  0.223339E-002  0.114362E-002  0.183909E-002  0.594307E-001  0.264518E-004   1.14543        46.4575       0.115938E-009  0.153951E-007  0.300091E-003  0.418913E-002  0.951336E-022  0.162740E-004  0.196559E-004  0.162003E-013  0.116177E-002   1.26844       0.130199E-002  0.198587E-002  0.162758E-001  0.204958E-001  0.111923E-003  0.388487E-009  0.348503E-006  0.187169E-011  0.141444E-005  0.140836E-012  0.373270E-001  0.263857E-002  0.680352E-019  0.273123E-010  0.784554E-004  0.538434E-004  0.180328E-002  0.166235E-002  0.142170       0.584173E-007  0.612733E-018  0.655409E-003   2.75500       0.323641E-002  0.416823E-002  0.720617E-018   1.05924       0.181422E-001  0.103058E-003  0.532149E-014  0.106541E-004  0.228954E-005  0.825612E-003  0.176711E-002  0.437997E-004  0.265765E-009  0.312169E-003  0.921255E-006  0.644601       0.107811E-001  0.901687E-002  0.532967E-002  0.297229E-020  0.270666E-001  0.264798E-013  0.155375E-005  0.167759E-009  0.204634E-012  0.107108E-008  0.199704E-007  0.305139E-014  0.182473E-014  0.145103E-015  0.112833E-031  0.146915E-009  0.573347E-017  0.174626E-010  0.173098E-014  0.174775E-011  0.756746E-019  0.142923       0.627267       0.579583E-005  0.121709E-007  0.526291E-003  0.277445E-024   1.30040        4.15981      -0.629936E-001   28.6318        2.98738        6.81106     
 0.500000        6.00000       0.999619E-001  0.508362E-002  0.673798E-002  0.519067E-005  0.264731E-008  0.546874E-005  0.239692E-002  0.123055E-002  0.196723E-002  0.638459E-001  0.287710E-004   1.14564        46.4663       0.111393E-009  0.151493E-007  0.298951E-003  0.418213E-002  0.881004E-022  0.159180E-004  0.193181E-004  0.165222E-013  0.116267E-002   1.26655       0.129917E-002  0.199249E-002  0.161875E-001  0.207608E-001  0.111392E-003  0.374739E-009  0.338884E-006  0.181489E-011  0.142804E-005  0.143635E-012  0.370774E-001  0.263348E-002  0.647119E-019  0.269189E-010  0.787658E-004  0.535633E-004  0.179867E-002  0.166726E-002  0.141989       0.548084E-007  0.614872E-018  0.652316E-003   2.74962       0.327410E-002  0.423976E-002  0.736980E-018   1.05443       0.179926E-001  0.103939E-003  0.516466E-014  0.104366E-004  0.226092E-005  0.834882E-003  0.178574E-002  0.445055E-004  0.267690E-009  0.315459E-003  0.945053E-006  0.645514       0.107635E-001  0.899605E-002  0.531737E-002  0.300479E-020  0.270138E-001  0.251521E-013  0.149653E-005  0.161932E-009  0.195944E-012  0.106844E-008  0.202487E-007  0.311078E-014  0.187039E-014  0.149544E-015  0.117557E-031  0.146943E-009  0.592469E-017  0.175123E-010  0.179347E-014  0.175739E-011  0.786152E-019  0.142923       0.627267       0.587479E-005  0.123077E-007  0.535109E-003  0.253005E-024   1.29908        4.15848      -0.629020E-001   28.6318        2.98164        6.79953     
 0.600000        7.00000       0.988949E-001  0.502618E-002  0.665967E-002  0.514184E-005  0.263495E-008  0.545565E-005  0.236896E-002  0.121842E-002  0.194030E-002  0.631530E-001  0.286257E-004   1.14580        46.4727       0.108950E-009  0.150189E-007  0.297971E-003  0.417530E-002  0.845785E-022  0.157239E-004  0.191344E-004  0.167465E-013  0.116313E-002   1.26511       0.129787E-002  0.199822E-002  0.161259E-001  0.208834E-001  0.111079E-003  0.367747E-009  0.333889E-006  0.178569E-011  0.143686E-005  0.145465E-012  0.369233E-001  0.262967E-002  0.629740E-019  0.266993E-010  0.789763E-004  0.534233E-004  0.179672E-002  0.167027E-002  0.141778       0.529629E-007  0.615688E-018  0.650691E-003   2.74591       0.329226E-002  0.427471E-002  0.745044E-018   1.05121       0.178908E-001  0.104197E-003  0.508116E-014  0.103252E-004  0.224573E-005  0.841692E-003  0.180056E-002  0.450490E-004  0.269154E-009  0.318077E-003  0.959481E-006  0.646079       0.107433E-001  0.898044E-002  0.530814E-002  0.302091E-020  0.269774E-001  0.244835E-013  0.146634E-005  0.158888E-009  0.191497E-012  0.106725E-008  0.203893E-007  0.314077E-014  0.189348E-014  0.151796E-015  0.119968E-031  0.147005E-009  0.602311E-017  0.175466E-010  0.182606E-014  0.176353E-011  0.801663E-019  0.142923       0.627267       0.591536E-005  0.123742E-007  0.539441E-003  0.240930E-024   1.29819        4.15760      -0.628775E-001   28.6318        2.97758        6.79131     
 0.700000        8.00000       0.979286E-001  0.497608E-002  0.659361E-002  0.509141E-005  0.261135E-008  0.541564E-005  0.234525E-002  0.120658E-002  0.192053E-002  0.625338E-001  0.284116E-004   1.14583        46.4738       0.108010E-009  0.149586E-007  0.297589E-003  0.417165E-002  0.833341E-022  0.156547E-004  0.190620E-004  0.167833E-013  0.116289E-002   1.26473       0.129830E-002  0.200027E-002  0.161129E-001  0.209380E-001  0.110926E-003  0.365427E-009  0.332146E-006  0.177566E-011  0.143810E-005  0.145784E-012  0.368646E-001  0.262712E-002  0.623226E-019  0.266090E-010  0.790166E-004  0.533862E-004  0.179645E-002  0.167038E-002  0.141659       0.522743E-007  0.616016E-018  0.650417E-003   2.74532       0.329828E-002  0.428572E-002  0.747524E-018   1.05076       0.178750E-001  0.104368E-003  0.504972E-014  0.102890E-004  0.224031E-005  0.843364E-003  0.180526E-002  0.451981E-004  0.269552E-009  0.318908E-003  0.964186E-006  0.646123       0.107324E-001  0.897697E-002  0.530609E-002  0.302544E-020  0.269716E-001  0.242605E-013  0.145578E-005  0.157787E-009  0.189961E-012  0.106735E-008  0.204370E-007  0.315047E-014  0.190075E-014  0.152493E-015  0.120700E-031  0.147098E-009  0.605407E-017  0.175673E-010  0.183645E-014  0.176657E-011  0.806662E-019  0.142923       0.627267       0.592745E-005  0.123964E-007  0.540814E-003  0.236717E-024   1.29802        4.15743      -0.628538E-001   28.6318        2.97682        6.78978     
 0.800000        9.00000       0.979076E-001  0.497381E-002  0.659265E-002  0.508631E-005  0.260819E-008  0.542882E-005  0.234425E-002  0.120593E-002  0.192092E-002  0.625197E-001  0.284614E-004   1.14583        46.4739       0.107026E-009  0.148831E-007  0.296992E-003  0.416475E-002  0.822684E-022  0.155913E-004  0.189849E-004  0.167686E-013  0.116200E-002   1.26440       0.130031E-002  0.200329E-002  0.161090E-001  0.209908E-001  0.110710E-003  0.363792E-009  0.330724E-006  0.176789E-011  0.143673E-005  0.145657E-012  0.367960E-001  0.262224E-002  0.616844E-019  0.265040E-010  0.790153E-004  0.533811E-004  0.179722E-002  0.166903E-002  0.141415       0.516182E-007  0.616159E-018  0.650721E-003   2.74556       0.330124E-002  0.429020E-002  0.748412E-018   1.05119       0.178835E-001  0.104521E-003  0.501878E-014  0.102655E-004  0.223561E-005  0.844494E-003  0.181096E-002  0.453388E-004  0.269917E-009  0.319914E-003  0.968167E-006  0.645929       0.107105E-001  0.897484E-002  0.530483E-002  0.302631E-020  0.269739E-001  0.240991E-013  0.144671E-005  0.156797E-009  0.188734E-012  0.106847E-008  0.204674E-007  0.315561E-014  0.190413E-014  0.152786E-015  0.120966E-031  0.147330E-009  0.606887E-017  0.176042E-010  0.184190E-014  0.177121E-011  0.809480E-019  0.142923       0.627267       0.593226E-005  0.124084E-007  0.541413E-003  0.233178E-024   1.29803        4.15744      -0.628329E-001   28.6318        2.97674        6.78966     
 0.900000        10.0000       0.975927E-001  0.495760E-002  0.657148E-002  0.506953E-005  0.259941E-008  0.541299E-005  0.233688E-002  0.120191E-002  0.191485E-002  0.623190E-001  0.285041E-004   1.14583        46.4739       0.105679E-009  0.147884E-007  0.296901E-003  0.416402E-002  0.803757E-022  0.154937E-004  0.188800E-004  0.167681E-013  0.116190E-002   1.26438       0.130053E-002  0.200367E-002  0.161085E-001  0.211042E-001  0.110525E-003  0.359920E-009  0.327928E-006  0.175165E-011  0.143660E-005  0.145756E-012  0.367348E-001  0.261981E-002  0.607234E-019  0.263770E-010  0.790160E-004  0.533026E-004  0.179600E-002  0.166889E-002  0.141388       0.506166E-007  0.617071E-018  0.650280E-003   2.74557       0.331364E-002  0.431267E-002  0.753443E-018   1.05125       0.178844E-001  0.105074E-003  0.497173E-014  0.102032E-004  0.222697E-005  0.844630E-003  0.181160E-002  0.453555E-004  0.269958E-009  0.320027E-003  0.973568E-006  0.645857       0.107072E-001  0.897380E-002  0.530421E-002  0.303525E-020  0.269741E-001  0.237328E-013  0.143103E-005  0.155098E-009  0.186276E-012  0.106861E-008  0.205608E-007  0.317470E-014  0.191847E-014  0.154164E-015  0.122418E-031  0.147466E-009  0.612848E-017  0.176344E-010  0.186146E-014  0.177566E-011  0.818728E-019  0.142923       0.627267       0.595451E-005  0.124551E-007  0.544255E-003  0.226764E-024   1.29803        4.15744      -0.628315E-001   28.6318        2.97670        6.78969     
